PRINT-SPACINGS

/data/ryle/CYGNUSX1-990913/s15


 CYGNUSX1-990913  centred on  CYGNUS-X1                                         
 Merge of all spacings from AE 1-5/1-5                                          
 Samples From:    1   ST: 17.40.08   UT: 18.10   LSF buffer:    1               
           To: 1788   ST: 21.59.44   UT: 22.29   LSF buffer: 1788               

 Modified Julian date 51434.00  at 0h on 13 Sep 99

      ST         UT        cos            sin            amp        phase
17.52.32   18.23.18   -0.74667E-03   -0.17783E-01    0.17798E-01    -92.4
17.52.40   18.23.26    0.40853E-02   -0.16840E-01    0.17329E-01    -76.4
17.52.48   18.23.34    0.12032E-01    0.14115E-01    0.18547E-01     49.6
17.52.56   18.23.42   -0.94645E-02   -0.10341E-01    0.14018E-01   -132.5
17.53.04   18.23.50    0.75799E-02    0.12326E-01    0.14470E-01     58.4
17.53.12   18.23.58    0.14496E-01    0.10472E-01    0.17883E-01     35.8
17.53.20   18.24.06    0.71196E-02   -0.15177E-03    0.71213E-02     -1.2
17.53.28   18.24.14    0.76731E-02    0.11565E-01    0.13879E-01     56.4
17.53.36   18.24.22    0.15207E-01    0.43569E-02    0.15819E-01     16.0
17.53.44   18.24.30    0.16594E-01    0.41537E-02    0.17106E-01     14.1
17.53.52   18.24.38    0.23856E-01   -0.47662E-02    0.24327E-01    -11.3
17.54.00   18.24.46    0.16908E-01    0.48568E-02    0.17592E-01     16.0
17.54.08   18.24.54    0.42757E-02   -0.92771E-02    0.10215E-01    -65.3
17.54.16   18.25.02    0.13136E-01    0.23013E-02    0.13336E-01      9.9
17.54.24   18.25.10   -0.73547E-02   -0.12566E-01    0.14560E-01   -120.3
17.54.32   18.25.18   -0.76593E-03    0.60257E-02    0.60742E-02     97.2
17.54.40   18.25.26    0.21937E-01    0.10709E-01    0.24411E-01     26.0
17.54.48   18.25.34    0.85521E-02   -0.11793E-01    0.14568E-01    -54.1
17.54.56   18.25.42   -0.12204E-01   -0.15984E-01    0.20110E-01   -127.4
17.55.04   18.25.50    0.24639E-01    0.50447E-02    0.25150E-01     11.6
17.55.12   18.25.58    0.95681E-02   -0.11010E-02    0.96312E-02     -6.6
17.55.20   18.26.06    0.13020E-01    0.53104E-02    0.14062E-01     22.2
17.55.28   18.26.14    0.17679E-01    0.18833E-01    0.25831E-01     46.8
17.55.36   18.26.22   -0.89790E-02   -0.16742E-02    0.91337E-02   -169.4
17.55.44   18.26.30   -0.53216E-02   -0.16445E-01    0.17285E-01   -107.9
17.55.52   18.26.38   -0.16375E-01   -0.46295E-03    0.16382E-01   -178.4
17.56.00   18.26.46    0.32243E-01    0.62431E-02    0.32842E-01     11.0
17.56.08   18.26.54   -0.99836E-03   -0.72155E-02    0.72842E-02    -97.9
17.56.16   18.27.02    0.22892E-02    0.10471E-01    0.10719E-01     77.7
17.56.24   18.27.10   -0.12413E-01   -0.10772E-01    0.16435E-01   -139.0
17.56.32   18.27.18   -0.18835E-01   -0.11008E-01    0.21816E-01   -149.7
17.56.40   18.27.26   -0.20605E-02   -0.16688E-01    0.16815E-01    -97.0
17.56.48   18.27.34    0.77213E-02   -0.14280E-01    0.16234E-01    -61.6
17.56.56   18.27.42    0.19188E-01   -0.21104E-02    0.19304E-01     -6.3
17.57.04   18.27.50   -0.87098E-03   -0.59100E-02    0.59738E-02    -98.4
17.57.12   18.27.58   -0.53048E-02   -0.11041E-01    0.12249E-01   -115.7
17.57.20   18.28.06    0.12365E-01   -0.10538E-01    0.16246E-01    -40.4
17.57.28   18.28.14   -0.63298E-02   -0.29199E-01    0.29877E-01   -102.2
17.57.36   18.28.22   -0.11101E-01    0.39559E-02    0.11784E-01    160.4
17.57.44   18.28.30    0.15266E-01    0.29896E-02    0.15556E-01     11.1
17.57.52   18.28.38    0.16750E-01    0.74890E-03    0.16767E-01      2.6
17.58.00   18.28.46   -0.10087E-01   -0.21182E-02    0.10307E-01   -168.1
17.58.08   18.28.54   -0.23248E-03    0.10917E-01    0.10920E-01     91.2
17.58.16   18.29.02    0.13389E-01   -0.10151E-01    0.16803E-01    -37.2
17.58.24   18.29.10    0.24630E-01   -0.47450E-02    0.25083E-01    -10.9
17.58.32   18.29.18    0.44703E-02   -0.34649E-02    0.56559E-02    -37.8
17.58.40   18.29.25    0.10895E-01   -0.20129E-01    0.22888E-01    -61.6
17.58.48   18.29.33    0.20020E-01   -0.18186E-01    0.27047E-01    -42.3
17.58.56   18.29.41   -0.11002E-02   -0.80852E-02    0.81597E-02    -97.7
17.59.04   18.29.49    0.56253E-02   -0.30460E-02    0.63970E-02    -28.4
17.59.12   18.29.57    0.26630E-01    0.34224E-02    0.26849E-01      7.3
17.59.20   18.30.05    0.10324E-01   -0.13003E-01    0.16603E-01    -51.6
17.59.28   18.30.13    0.20055E-01    0.25394E-02    0.20215E-01      7.2
17.59.36   18.30.21   -0.68164E-02    0.25890E-02    0.72915E-02    159.2
17.59.44   18.30.29    0.23432E-01   -0.35562E-02    0.23701E-01     -8.6
17.59.52   18.30.37   -0.78127E-02   -0.14273E-01    0.16271E-01   -118.7
18.00.00   18.30.45   -0.24458E-02   -0.21656E-01    0.21794E-01    -96.4
18.00.08   18.30.53    0.31362E-01   -0.18961E-01    0.36648E-01    -31.2
18.00.16   18.31.01    0.23590E-01   -0.28740E-02    0.23764E-01     -6.9
18.00.24   18.31.09    0.67878E-02   -0.71291E-03    0.68251E-02     -6.0
18.00.32   18.31.17    0.97411E-02   -0.72313E-02    0.12132E-01    -36.6
18.00.40   18.31.25    0.24138E-01    0.45895E-02    0.24571E-01     10.8
18.00.48   18.31.33    0.16498E-01    0.20340E-01    0.26189E-01     51.0
18.00.56   18.31.41    0.39944E-02   -0.28322E-01    0.28602E-01    -82.0
18.01.04   18.31.49    0.33868E-01    0.53432E-02    0.34287E-01      9.0
18.01.12   18.31.57    0.24182E-01   -0.10303E-01    0.26285E-01    -23.1
18.01.20   18.32.05    0.12866E-01   -0.65759E-02    0.14449E-01    -27.1
18.01.28   18.32.13    0.10280E-01   -0.14954E-02    0.10388E-01     -8.3
18.01.36   18.32.21    0.91950E-02   -0.38585E-02    0.99718E-02    -22.8
18.01.44   18.32.29   -0.64602E-02   -0.14872E-02    0.66292E-02   -167.0
18.01.52   18.32.37    0.25915E-01   -0.22844E-01    0.34546E-01    -41.4
18.02.00   18.32.45   -0.13487E-01    0.12156E-01    0.18157E-01    138.0
18.02.08   18.32.53   -0.21132E-02   -0.70156E-02    0.73270E-02   -106.8
18.02.16   18.33.01    0.13546E-01   -0.17801E-02    0.13662E-01     -7.5
18.02.24   18.33.09    0.13310E-01   -0.16932E-02    0.13417E-01     -7.3
18.02.32   18.33.17    0.21533E-01   -0.51339E-02    0.22137E-01    -13.4
18.02.40   18.33.25    0.23217E-01    0.86090E-03    0.23233E-01      2.1
18.02.48   18.33.33    0.69623E-02   -0.77280E-02    0.10402E-01    -48.0
